# Generated by Autoplot on Mon Aug 17 15:35:30 EDT 2020
 dep0, data, data0(pA)
109.19, 0.44328, -1.0
129.18, -0.15297173282490706, -1.0
149.24, -0.19937545296414566, -1.0
169.23, -0.3128006307754155, -1.0
189.28, -0.3899999786538505, 26.862
209.19, -0.27354373954951455, 33.543
229.19, -0.2770857200164462, 36.559
249.23, -0.2639136381640339, 38.776
269.23, -0.2657530253806907, 35.955
289.27, -0.28045903246289927, 32.578
309.20, -0.28466213067834395, 29.733
329.12, -0.27283884071401676, 28.076
349.34, -0.26656845211546193, 21.988
370.13, -0.4479133919359491, 20.155
392.12, -0.2491822230176925, 19.699
415.28, -0.35893155433310037, -1.0
439.61, -0.36233976442566757, -1.0
465.40, -0.27313696852055336, -1.0
492.58, -0.13417839549183666, -1.0
521.40, -0.17258090405769735, -1.0
551.91, -0.07428783241340642, -1.0
583.87, -0.17965162435717622, -1.0
617.88, -0.10674069056684304, -1.0
654.54, 0.014709, -1.0
692.14, 0.20092, -1.0
733.08, 0.049135, -1.0
776.23, -0.14810013369242944, -1.0
846.20, 0.19226, -1.0
922.37, 0.57887, -1.0
